code,family,feature
B1,Boundary,feat__boundary_risk__pred_boundary_area_frac
B2,Boundary,feat__boundary_risk__boundary_mean_entropy
B3,Boundary,feat__boundary_risk__boundary_max_entropy
B4,Boundary,feat__boundary_risk__boundary_mean_margin_uncertainty
B5,Boundary,feat__boundary_risk__boundary_high_entropy_frac
C1,Cluster,feat__uncertainty_cluster__high_uncertainty_area_frac
C2,Cluster,feat__uncertainty_cluster__high_uncertainty_threshold
C3,Cluster,feat__uncertainty_cluster__high_uncertainty_component_count
C4,Cluster,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac
C5,Cluster,feat__uncertainty_cluster__high_uncertainty_small_component_count
T1,Topology,feat__topology_risk__component_count
T2,Topology,feat__topology_risk__largest_component_area_frac
T3,Topology,feat__topology_risk__small_component_count
T4,Topology,feat__topology_risk__mean_component_area_frac
T5,Topology,feat__topology_risk__component_area_cv
T6,Topology,feat__topology_risk__mean_eccentricity
T7,Topology,feat__topology_risk__mean_solidity
T8,Topology,feat__topology_risk__euler_number
T9,Topology,feat__topology_risk__threshold_component_count_std
T10,Topology,feat__topology_risk__threshold_area_frac_std
T11,Topology,feat__topology_risk__threshold_euler_std
M1,Morphology,feat__anatomical_topological_consistency__opening_residual_frac
M2,Morphology,feat__anatomical_topological_consistency__closing_residual_frac
